Date,Unnamed:_0_x,Sum_SZEM,BNCH_A,C/E_A,CCY_A,CPN_A,DR_A,FI_A,GDNC_A,KR_A,LTV_A,MO_A,PRICE_A,SP_A,SPRD_A,SZEM_A,TYPE_A,WAL_A,YLD_A,BNCH_B,C/E_B,CCY_B,CPN_B,DR_B,FI_B,GDNC_B,KR_B,LTV_B,MO_B,PRICE_B,SP_B,SPRD_B,SZEM_B,TYPE_B,WAL_B,YLD_B,BNCH_C,C/E_C,CCY_C,CPN_C,DR_C,FI_C,GDNC_C,KR_C,LTV_C,MO_C,PRICE_C,SP_C,SPRD_C,SZEM_C,TYPE_C,WAL_C,YLD_C,BNCH_D,C/E_D,CCY_D,CPN_D,DR_D,FI_D,GDNC_D,KR_D,LTV_D,MO_D,PRICE_D,SP_D,SPRD_D,SZEM_D,TYPE_D,WAL_D,YLD_D,CPN_A_change,CPN_B_change,CPN_C_change,CPN_D_change,PRICE_A_change,PRICE_B_change,PRICE_C_change,PRICE_D_change,SPRD_A_change,SPRD_B_change,SPRD_C_change,SPRD_D_change,SZEM_A_change,SZEM_B_change,SZEM_C_change,SZEM_D_change,WAL_A_change,WAL_B_change,WAL_C_change,WAL_D_change,YLD_A_change,YLD_B_change,YLD_C_change,YLD_D_change,Unnamed:_0_y,Unnamed:_0_x.1,Open,High,Low,Close,Adj_Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,Unnamed:_0_y.1,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change
2021-01-22,13,108.0,YLD,33.00%,USD,0.025,BBB (L),-,-,E,-,E,100.0,-,0.0,108.0,Fixed,1.73,0.025,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0024999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.938,0.0,0.0,0.0,-0.1599999999999999,0.0,0.0,0.0,-0.0024999999999999,,,,24,24,62.400002,64.879997,58.529999,64.470001,64.470001,1241600,67.360001,62.189999,74.510002,113.75,0.0448270506463928,-0.0454336593880687,0.0198467566341844,-0.0221783027219408,2244.0,-0.0215295565021446,-0.0293830926265064,0.0230442912610961,0.0102651839125
2021-01-28,14,207.859,EDSF,-,USD,0.0087,A,-,80-90,A-,-,E,99.99486,-,70.0,142.827,Fixed,1.17,0.0088,Swaps,-,USD,0.0189,BBB (L),-,180-195,BBB-,-,E,99.985,-,165.0,28.93,Fixed,2.78,0.019,Swaps,-,USD,0.0406,NR,-,400a,BB-,-,E,99.98448,-,375.0,36.102,Fixed,3.66,0.0409999999999999,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0163,,,,-0.0051399999999972,99.985,99.98448,0.0,70.0,165.0,375.0,0.0,34.827,28.93,36.102,0.0,-0.56,2.78,3.66,0.0,-0.0162,,,,28,28,64.540001,67.413002,63.52,65.150002,65.150002,617800,62.189999,75.75,60.360001,107.360001,-0.0454336593880687,-0.0501567398119122,-0.0943736055701844,-0.0598948877380443,2250.0,-0.0293830926265064,-0.0154940787168656,-0.0151378823437207,-0.0501379843031813
2021-03-01,15,64.0,YLD,36.50%,USD,0.02,BBB (L),-,-,BBB-,-,E,100.0,-,0.0,64.0,Fixed,1.73,0.02,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0113,,,,0.0051399999999972,-99.985,-99.98448,0.0,-70.0,-165.0,-375.0,0.0,-78.827,-28.93,-36.102,0.0,0.56,-2.78,-3.66,0.0,0.0112,,,,49,49,66.779999,73.459999,65.870003,66.650002,66.650002,1309100,60.360001,46.869999,128.860001,164.830002,-0.0943736055701844,-0.083854593432369,-0.00324874693107,0.0489372728072883,2282.0,-0.0151378823437207,-0.0369626583965065,0.0246725597746806,0.0010737342699468
2021-05-04,16,475.875,EDSF,-,USD,0.0091,A,-,70-75,A-,-,E,99.9972,-,70.0,344.136,Fixed,1.24,0.0091,Swaps,-,USD,0.0175,BBB (L),-,145-160,BBB-,-,E,99.98953,-,130.0,59.148,Fixed,2.99,0.0176,Swaps,-,USD,0.0361,NR,-,325-350,BB-,-,E,99.98343,-,300.0,72.591,Fixed,3.76,0.0364,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0109,,,,-0.0027999999999934,99.98953,99.98343,0.0,70.0,130.0,300.0,0.0,280.136,59.148,72.591,0.0,-0.49,2.99,3.76,0.0,-0.0109,,,,94,94,115.0,115.0,101.099998,107.360001,107.360001,2081700,98.190002,89.440002,164.039993,132.130005,-0.0854135517379511,0.0139440314470473,-0.0047928713851498,-0.0078095142721259,2346.0,-0.0517327603136847,-0.0112095394267465,-0.0164368833547482,0.0294181729261716
2021-05-13,17,102.492,YLD,31.50%,USD,0.02,BBB (L),-,-,BBB-,-,E,100.0,-,0.0,102.492,Fixed,1.82,0.02,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0109,,,,0.0027999999999934,-99.98953,-99.98343,0.0,-70.0,-130.0,-300.0,0.0,-241.644,-59.148,-72.591,0.0,0.5800000000000001,-2.99,-3.76,0.0,0.0109,,,,101,101,96.25,97.870003,80.849998,84.050003,84.050003,5638200,103.360001,139.080002,123.029999,200.179993,0.2297441678853955,0.0464223746468326,-0.0133130401265051,-0.0035343023721156,2355.0,0.1015569879787113,0.0365725622618534,0.0082455182986616,-0.0179533723546893
2021-06-03,18,68.392,YLD,32.00%,USD,0.02,BBB (L),-,-,BBB-,-,E,100.0,-,0.0,68.392,Fixed,1.76,0.02,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.10000000000001,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,,,,115,115,150.5,172.25,145.149994,164.830002,164.830002,6058700,164.039993,146.419998,120.0,262.700012,-0.0047928713851498,-0.0394279031423954,-0.0099826665290212,0.062315578617045,2376.0,-0.0164368833547482,0.0035852470379109,-0.007062634934764,0.0168557137913509
2021-07-08,19,82.152,YLD,34.00%,USD,0.0185,BBB (L),-,-,BBB-,-,E,100.0,-,0.0,82.152,Fixed,1.76,0.0185,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0014999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.760000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014999999999999,,,,139,139,112.57,121.68,110.82,119.75,119.75,2991400,120.0,113.089996,137.190002,310.920013,0.0020876826722338,-0.0003535843813379,0.0382955937979414,-0.0009960414775039,2411.0,0.0272095271145203,0.0027099852389112,-0.0083269215967118,-0.0104288642293701
2021-07-22,20,485.65,EDSF,-,USD,0.0083,A,-,70-75,A-,-,A3,99.99313,-,65.0,352.762,Fixed,1.24,0.0084,Swaps,-,USD,0.0166,BBB (L),-,120-130,BBB-,-,Baa3,99.97603,-,120.0,59.219,Fixed,2.99,0.0167,Swaps,-,USD,0.0327999999999999,NR,-,280-300,BB-,-,NR,99.99782,-,270.0,73.669,Fixed,3.72,0.033,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0102,,,,-0.0068700000000063,99.97603,99.99782,0.0,65.0,120.0,270.0,0.0,270.61,59.219,73.669,0.0,-0.52,2.99,3.72,0.0,-0.0101,,,,149,149,120.0,120.746002,115.300003,116.910004,116.910004,1440200,116.57,123.870003,202.960007,359.809998,-0.0029082541131382,0.0170785941614368,0.0374157025016137,0.0503561422837233,2425.0,-0.0072160903909281,0.1247580898701741,0.0239447068894547,0.0288916331911022
2021-08-05,21,74.226,YLD,38.00%,USD,0.0185,BBB (L),-,-,BBB-,-,E,100.0,-,0.0,74.226,Fixed,1.76,0.0185,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0102,,,,0.0068700000000063,-99.97603,-99.99782,0.0,-65.0,-120.0,-270.0,0.0,-278.536,-59.219,-73.669,0.0,0.52,-2.99,-3.72,0.0,0.0101,,,,159,159,128.139999,137.399994,124.300003,133.169998,133.169998,5132300,132.130005,178.119995,262.700012,334.600006,-0.0078095142721259,0.0404205497737244,0.062315578617045,0.0091688020820894,2439.0,0.0294181729261716,-0.0017368815561084,0.0168557137913509,0.0172634586783946
2021-09-09,22,80.398,YLD,33.00%,USD,0.0175,BBB (L),-,-,BBB,-,E,100.0,-,0.0,80.398,Fixed,1.75,0.0175,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.001,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.171999999999997,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.001,,,,183,183,270.601013,291.25,262.089996,289.600006,289.600006,6710600,270.459991,293.26001,310.920013,151.059998,-0.0660912106472815,0.050772203243,-0.0009960414775039,-0.0602799502332814,2474.0,0.0628648097546381,0.0246421171788791,-0.0104288642293701,-0.0562961386843352
